data.source	file.snps	sample.id	ref.genome	data.type	out.folder	is.tumor
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115242-T-C1.snps	6115242-T-C1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115247-N-B1.snps	6115247-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115247-T-A1.snps	6115247-T-A1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115250-N-B1.snps	6115250-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115250-T-B2.snps	6115250-T-B2	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115251-N-B1.snps	6115251-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115251-T-A1.snps	6115251-T-A1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1008_Normal_2.snps	MO_1008_Normal_2	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1008_Tumor_Dura.snps	MO_1008_Tumor_Dura	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1012_Normal-Blood.snps	MO_1012_Normal-Blood	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1012_Tumor-Subcutaneous_nodule.snps	MO_1012_Tumor-Subcutaneous_nodule	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1013_Normal.snps	MO_1013_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1013_Tumor.snps	MO_1013_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1014_Normal.snps	MO_1014_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1014_Tumor.snps	MO_1014_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1015_Normal.snps	MO_1015_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1015_Tumor.snps	MO_1015_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1020_Normal.snps	MO_1020_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1020_Tumor.snps	MO_1020_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1040_Normal.snps	MO_1040_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1040_Tumor.snps	MO_1040_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1054_Normal.snps	MO_1054_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1054_Tumor.snps	MO_1054_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1071__Normal.snps	MO_1071__Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1071__Tumor.snps	MO_1071__Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1074__Normal.snps	MO_1074__Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1074__Tumor.snps	MO_1074__Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1084__Normal.snps	MO_1084__Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1084__Tumor.snps	MO_1084__Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1094__Normal.snps	MO_1094__Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1094_Tumor.snps	MO_1094_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1095__Normal.snps	MO_1095__Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1095__Tumor.snps	MO_1095__Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1096_Normal.snps	MO_1096_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1096_Tumor.snps	MO_1096_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1114_Normal.snps	MO_1114_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1114_Tumor.snps	MO_1114_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1118_Normal.snps	MO_1118_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1118_Tumor.snps	MO_1118_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1124_Normal.snps	MO_1124_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1124_Tumor.snps	MO_1124_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1128_Normal.snps	MO_1128_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1128_Tumor.snps	MO_1128_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1130_Normal.snps	MO_1130_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1130_Tumor.snps	MO_1130_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1162_Normal.snps	MO_1162_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1162_Tumor.snps	MO_1162_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1176_Normal.snps	MO_1176_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1176_Tumor.snps	MO_1176_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1179_Normal.snps	MO_1179_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1179_Tumor.snps	MO_1179_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1184_Normal.snps	MO_1184_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1184_Tumor.snps	MO_1184_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1192_Normal.snps	MO_1192_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1192_Tumor.snps	MO_1192_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1202_Normal.snps	MO_1202_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1202_Tumor.snps	MO_1202_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1215_Normal.snps	MO_1215_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1215_Tumor.snps	MO_1215_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1219_Normal.snps	MO_1219_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1219_Tumor.snps	MO_1219_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1221_Normal.snps	MO_1221_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1221_Tumor.snps	MO_1221_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1232_Normal.snps	MO_1232_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1232_Tumor.snps	MO_1232_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1241_Normal.snps	MO_1241_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1241_Tumor.snps	MO_1241_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1244_Normal.snps	MO_1244_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1244_Tumor.snps	MO_1244_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1249_Normal.snps	MO_1249_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1249_Tumor.snps	MO_1249_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1262_Normal.snps	MO_1262_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1262_Tumor.snps	MO_1262_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1263_Normal.snps	MO_1263_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1263_Tumor.snps	MO_1263_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1337_N.snps	MO_1337_N	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1337_T.snps	MO_1337_T	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1339_N.snps	MO_1339_N	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1339_T.snps	MO_1339_T	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1410_Normal.snps	MO_1410_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/MO_1410_Tumor.snps	MO_1410_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9001_Normal-Blood.snps	SC_9001_Normal-Blood	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9001_Tumor-Liver2.snps	SC_9001_Tumor-Liver2	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9003_Normal.snps	SC_9003_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9003_Tumor.snps	SC_9003_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9005_Normal.snps	SC_9005_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9005_Tumor.snps	SC_9005_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9007_Normal.snps	SC_9007_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9007_Tumor.snps	SC_9007_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9008_Normal.snps	SC_9008_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9008_Tumor.snps	SC_9008_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9009_Normal.snps	SC_9009_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9009_Tumor.snps	SC_9009_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9010_Normal.snps	SC_9010_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9010_Tumor.snps	SC_9010_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9011_Normal.snps	SC_9011_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9011_Tumor.snps	SC_9011_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9012_Normal.snps	SC_9012_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9012_Tumor.snps	SC_9012_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9016_Normal.snps	SC_9016_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9016_Tumor.snps	SC_9016_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9017_Normal.snps	SC_9017_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9017_Tumor.snps	SC_9017_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9018_Normal.snps	SC_9018_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9018_Tumor.snps	SC_9018_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9019_Normal.snps	SC_9019_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9019_Tumor.snps	SC_9019_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9020_Normal.snps	SC_9020_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9020_Tumor.snps	SC_9020_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9021_Normal.snps	SC_9021_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9021_Tumor.snps	SC_9021_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9022_Normal.snps	SC_9022_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9022_Tumor.snps	SC_9022_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9023_Normal.snps	SC_9023_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9023_Tumor.snps	SC_9023_Tumor	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/SC_9024_Normal.snps	SC_9024_Normal	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
